,_merged_text
0,new york
1,la grotta 404/231-1368
2,fenix 213/848-6677
3,570 4th st.
4,43 w. 65th st.
5,new york
6,rainbow room 212/632-5000
7,2 harrison st.  near hudson st.
8,aureole 212/ 319-1660
9,atlanta
10,cafe claude 415/392-3505
11,los angeles
12,2880 las vegas blvd. s
13,new york
14,chin's 702/733-8899
15,160 central park s
16,los angeles
17,island spice 212/765-1737
18,8284 melrose ave.
19,san francisco
20,atlanta
21,1397 n. highland ave.
22,new york
23,ciboulette 404/874-7600
24,6703 melrose ave.
25,95 ave. a at 6th st.
26,new york
27,rose pistola 415/399-0499
28,atlanta
29,montrachet 212/ 219-2777
30,13 w. 54th st.
31,new york
32,rex il ristorante 213/627-2300
33,delectables 404/681-2909
34,hotel bel-air 310/472-1211
35,1 mission st.
36,new york
37,oceana 212/759-5941
38,152 w. 44th st.
39,1737 post st.
40,spago 310/652-4025
41,42 e. 20th st.  between park ave. s and broadway
42,las vegas
43,toulouse 404/351-9533
44,studio city
45,new york
46,smith & wollensky 212/753-1530
47,3073 piedmont road
48,los angeles
49,dawat 212/355-7555
50,57 jane st.  off hudson st.
51,lulu 415/495-5775
52,atlanta
53,12969 ventura blvd.
54,san francisco
55,new york
56,abruzzi 404/261-8186
57,12224 ventura blvd.
58,new york
59,lutece 212/752-2225
60,san francisco
61,matsuhisa 310/659-9639
62,181 peachtree st.
63,new york
64,mary mac's tea room 404/876-1800
65,granita 310/456-0488
66,22 hawthorne st.
67,1110 3rd ave. at 65th st.
68,new york
69,river cafe 718/522-5200
70,20 e. 76th st.
71,cafe lalo 212/496-6031
72,atlanta
73,campton place 415/955-5555
74,hollywood
75,2245 e. flamingo rd.
76,new york
77,coyote cafe 702/891-7349
78,2 e. 55th st.
79,los angeles
80,fleur de lys 415/673-7779
81,jo jo 212/223-5656
82,3rd st.
83,san francisco
84,2637 peachtree rd.  peachtree house condominium
85,8358 sunset blvd. west
86,30 rockefeller plaza
87,adriano's ristorante 310/475-9807
88,atlanta
89,34 e. 61st st.
90,new york
91,georgia grille 404/352-3517
92,cafe bizou 818/788-3536
93,7 claude la.
94,new york
95,park avenue cafe 212/644-1900
96,3201 fillmore st.
97,3200 las vegas blvd. s
98,valentino 310/829-4313
99,402 w. 44th st.
100,las vegas
101,veni vidi vici 404/875-8424
102,bel air
103,new york
104,tavern on the green 212/873-3200
105,1529 piedmont ave.
106,los angeles
107,felidia 212/758-1479
108,239 w. broadway  between walker and white sts.
109,masa's 415/989-7154
110,atlanta
111,617 s. olive st.
112,1 margaret mitchell sq.
113,san francisco
114,new york
115,bacchanalia 404/365-0410
116,701 stone canyon rd.
117,55 e. 54th st.
118,new york
119,manhattan ocean club 212/ 371-7777
120,1114 horn ave.
121,san francisco
122,the palm 310/550-8811
123,b peachtree rd.
124,las vegas
125,nikolai's roof 404/221-6362
126,201 e. 49th st.
127,grill on the alley 310/276-0615
128,5937 geary blvd.
129,new york
130,san domenico 212/265-5959
131,210 e. 58th st.
132,cafe des artistes 212/877-3500
133,atlanta
134,chez michel 415/775-7036
135,malibu
136,2355 peachtree rd.  peachtree battle shopping center
137,new york
138,le montrachet 702/732-5111
139,249 e. 50th st.
140,los angeles
141,fringale 415/543-0573
142,atlanta
143,la caravelle 212/586-4252
144,129 n. la cienega blvd.
145,san francisco
146,new york
147,palace court 702/731-7547
148,224 ponce de leon ave.
149,los angeles
150,la cote basque 212/688-6525
151,23725 w. malibu rd.
152,1 water st. at the east river
153,atlanta
154,restaurant katsu 213/665-1891
155,201 w. 83rd st.
156,new york
157,hedgerose heights inn 404/233-7673
158,campanile 213/938-1447
159,340 stockton st.
160,new york
161,petrossian 212/245-2214
162,545 post st.
163,3799 las vegas blvd. s
164,yujean kang's gourmet chinese cuisine 818/585-0855
165,160 e. 64th st.
166,atlanta
167,alain rondelli 415/387-0408
168,sherman oaks
169,600 stockton st.
170,new york
171,uncle nick's 212/315-1726
172,beverly hills
173,four seasons grill room 212/754-9494
174,mifune japan center  kintetsu building 415/922-0337
175,atlanta
176,2290 peachtree rd.  peachtree square shopping center
177,san francisco
178,brooklyn
179,bone's 404/237-2663
180,14016 ventura blvd.
181,100 e. 63rd st.
182,new york
183,march 212/754-6272
184,3115 pico blvd.
185,san francisco
186,san francisco
187,patina 213/467-1108
188,41 14th st.
189,las vegas
190,pano's and paul's 404/261-3662
191,2316 polk st.
192,in central park at 67th st.
193,new york
194,second avenue deli 212/677-0606
195,243 e. 58th st.
196,carmine's 212/362-2200
197,los angeles
198,3125 piedmont rd.  near peachtree rd.
199,57 w. 58th st.
200,hawthorne lane 415/777-9779
201,atlanta
202,9001 santa monica blvd.
203,san francisco
204,new york
205,second street grille 702/385-3232
206,255 courtland st.  at harris st.
207,santa monica
208,le bernardin 212/489-1515
209,9560 dayton way
210,240 central park s
211,atlanta
212,l'orangerie 310/652-9770
213,1 w. 67th st.
214,new york
215,heera of india 404/876-4408
216,chinois on main 310/392-9025
217,804 northpoint
218,new york
219,picholine 212/724-8585
220,3000 w. paradise rd.
221,21 club 212/582-7200
222,33 w. 55th st.
223,atlanta
224,aqua 415/956-9662
225,los angeles
226,532 columbus ave.
227,3570 las vegas blvd. s
228,new york
229,union square cafe 212/243-4020
230,60 w. 55th st.  between 5th and 6th ave.
231,los angeles
232,gotham bar & grill 212/620-4020
233,1972 n. hillhurst ave.
234,plumpjack cafe 415/563-4755
235,atlanta
236,490 e. paces ferry rd.
237,new york
238,brasserie le coze 404/266-1440
239,624 s. la brea ave.
240,182 w. 58th st.
241,new york
242,mesa grill 212/807-7400
243,67 n. raymond ave.
244,san francisco
245,san francisco
246,philippe's the original 213/628-3781
247,arnie morton's of chicago 310/246-1501
248,126 clement st.
249,las vegas
250,cafe  ritz-carlton  buckhead 404/237-2700
251,816 folsom st.
252,747 9th ave.  between 50th and 51st sts.
253,new york
254,seryna 212/980-9393
255,99 e. 52nd st.
256,las vegas
257,carnegie deli 212/757-2245
258,dining room  ritz-carlton  buckhead 404/237-2700
259,new york
260,shun lee west 212/371-8844
261,3130 piedmont road
262,los angeles
263,chanterelle 212/966-6960
264,405 e. 58th st.
265,khan toke thai house 415/668-6654
266,atlanta
267,5955 melrose ave.
268,san francisco
269,new york
270,steak house 702/734-0410
271,1232 w. paces ferry rd.
272,los angeles
273,les celebrites 212/484-5113
274,156 2nd ave. at 10th st.
275,le chardonnay 213/655-8880
276,san francisco
277,2450 broadway  between 90th and 91st sts.
278,new york
279,indigo coastal grill 404/876-0676
280,citrus 213/857-0034
281,777 sutter st.
282,new york
283,pisces 212/260-6660
284,aquavit 212/307-7311
285,atlanta
286,boulevard 415/543-6084
287,santa monica
288,200 e. fremont st.
289,2930 beverly glen circle
290,new york
291,virgil's 212/ 921-9494
292,155 w. 51st st.
293,los angeles
294,gramercy tavern 212/477-0777
295,903 n. la cienega blvd.
296,san francisco
297,postrio 415/776-7825
298,atlanta
299,595 piedmont ave.  rio shopping mall
300,new york
301,buckhead diner 404/262-3336
302,2709 main st.
303,35 w. 64th st.
304,new york
305,ritz-carlton restaurant and dining room 415/296-7465
306,mi cocina 212/627-8273
307,21 w. 52nd st.
308,los angeles
309,pinot bistro 818/990-0500
310,art's delicatessen 818/762-1221
311,252 california st.
312,648 bush st.
313,21 e. 16th st.
314,12 e. 12th st.
315,las vegas
316,restaurant  ritz-carlton  atlanta 404/659-0400
317,los angeles
318,new york
319,sign of the dove 212/861-8080
320,3393 peachtree rd.  lenox square mall  near neiman marcus
321,los angeles
322,daniel 212/288-0033
323,102 5th ave.  between 15th and 16th sts.
324,la folie 415/776-5577
325,atlanta
326,1001 n. alameda st.
327,san francisco
328,new york
329,tillerman 702/731-4036
330,435 s. la cienega blv.
331,3434 peachtree rd.
332,new york
333,lespinasse 212/339-6719
334,11 e. 53rd st.
335,san francisco
336,locanda veneta 310/274-1893
337,854 7th ave.  between 54th and 55th sts.
338,3434 peachtree rd.
339,second avenue deli 212-677-0606
340,asian
341,368 bleecker st.
342,240 central park s.
343,il mulino 212-673-3783
344,8764 melrose ave.
345,louise's trattoria 213/667-0777
346,2905 buford hwy.
347,southern/soul
348,129 e. fremont st.
349,venetian 702/876-4190
350,mediterranean
351,mitali east-west 212-989-1367
352,remi 310/393-6545
353,continental
354,243 o'farrell st.
355,barbecue
356,california culinary academy 415/771-3500
357,200 w. 70th st.
358,french
359,caffe roma 212/226-8413
360,asian
361,150 w. 46th st.
362,732 broadway
363,southern
364,150 wooster st.  between houston and prince sts.
365,harris' 415/673-1888
366,12224 ventura blvd.
367,american (new)
368,corrado cafe 212/753-5100
369,asian
370,kyo-ya. sheraton palace hotel 415/546-5000
371,181 w. 10th st.
372,mexican
373,f. ille ponte ristorante 212/226-4621
374,3148 geary blvd.
375,yoyo tsumami bistro 415/922-7788
376,italian
377,original pancake house (at) 404-237-4116
378,philippe the original 213-628-3781
379,italian
380,french roast 212/533-2233
381,2027 sawtelle blvd.
382,seafood
383,bristol farms market cafe 310-643-5229
384,middle eastern
385,pacific new wave
386,health food
387,54 irving pl. at 17th st.
388,1716 pch
389,seafood
390,la cote basque 212-688-6525
391,indo cafe 310-815-1290
392,marquet patisserie 212/229-9313
393,vietnamese
394,265 pharr rd.
395,asian
396,coco loco 404/364-0212
397,730 n. la cienega blvd.
398,la salsa (la) 310-456-6299
399,picholine 212-724-8585
400,chinese
401,60 e. 54th st.
402,orso 212/489-7212
403,764 ninth ave.
404,182 w. 58th st.
405,hamburgers
406,ej's luncheonette 212-473-5555
407,923 peachtree st.  at 8th st.
408,seafood
409,9255 sunset blvd.
410,jackson's farm 310/273-5578
411,600 ponce de leon ave.
412,virgil's real bbq 212-921-9494
413,pomaire 212/ 956-3055
414,american
415,86 w. third st.
416,la grenouille 212-752-1495
417,21 e. 16th st.
418,east european
419,eclectic
420,paty's 818/761-9126
421,14928 ventura blvd.
422,mediterranean
423,3713 w. sahara ave.
424,ciboulette restaurant 404-874-7600
425,french
426,296 bleecker st.
427,3073 piedmont rd.
428,patsy's pizza 718-858-4300
429,italian
430,9876 wilshire blvd.
431,tommy tang's 213/937-5733
432,french (new)
433,625 polk st.
434,italian
435,garden court 415/546-5011
436,385 broome st. at mulberry
437,thailand restaurant 212-349-3132
438,bbq
439,2100 van ness ave.
440,asian
441,izzy's steak & chop house 415/563-0487
442,1013 3rd ave.  between 60th and 61st sts.
443,el teddy's 212/941-7070
444,nickiemoto's: a sushi bar 404/842-0334
445,american
446,majestic 404-875-0276
447,2 new montgomery st.  at market st.
448,asian
